tradeHorizon,tradedValue,historicalVolatility,participationRate,percentMDV,spread,marketCap,sector,securityType,side,country,transactionCost
5.496714153011233,106996.77718293,0.4324821725025618,0.42749609179362036,0.09094295036858766,0.024044596346963598,93118720.86591546,Technology,Bond,Sell,UK,1.9318768612881634
4.861735698828816,104623.16841456384,0.48554813292844823,0.4934268826054652,0.019012876631870568,0.01707772354074781,92509316.98499498,Technology,Stock,Buy,Canada,1.7530412472225314
5.6476885381006925,100298.15184960086,0.42075800790000384,0.2038683355801656,0.08212501545597044,0.016253211552886112,80401488.5043551,Finance,ETF,Sell,UK,1.928055008786361
6.523029856408026,96765.31611147213,0.46920384703609597,0.48788945311919085,0.054463087110713584,0.01889231701208131,60853228.217320204,Utilities,Bond,Sell,UK,2.222999140611878
4.765846625276664,103491.11656806796,0.31063853330462143,0.27249354791662317,0.007785651960876961,0.01411518943615016,86637139.03344466,Finance,Bond,Buy,Germany,1.6745423345095107
4.765863043050819,101967.42692710875,0.5213293707372939,0.23900751812550186,0.09554481914380675,0.02910271953970908,103867589.03848319,Healthcare,Bond,Sell,USA,1.7096100757909671
6.5792128155073915,104475.96610013866,0.5001205475362224,0.1201398107877413,0.024696116699189252,0.017168027043926386,73036459.0914502,Utilities,Stock,Sell,USA,2.2050919124255857
5.7674347291529084,103175.85900840985,0.4182911368931809,0.12110610314384106,0.08596453453526065,0.02415808393090202,100313644.7294325,Utilities,Stock,Sell,UK,1.9600904868522189
4.530525614065048,105247.76357659667,0.5659245668432406,0.3768045023786619,0.01688100057845642,0.021047350418238863,138005368.4862193,Finance,Bond,Sell,Germany,1.6689119692978285
5.542560043585965,97323.82394219717,0.5937570137626559,0.28317159777361117,0.0853942882141853,0.01507732974759016,120461131.10504478,Healthcare,Stock,Buy,UK,1.954125779139274
4.536582307187538,106586.97032817162,0.3392440135631026,0.1906086504144423,0.0013228812905293986,0.019970226453936354,132870830.18241058,Utilities,Stock,Buy,UK,1.6246376059900671
4.5342702464297435,100987.998023462,0.42372752214337855,0.3455881225300931,0.05117804565694807,0.02392001389655374,107822557.53865452,Technology,Bond,Buy,Canada,1.6258558005951145
5.241962271566035,110376.30436312633,0.42308576502127015,0.2011432473000445,0.07694425794215569,0.019058693324568467,123350196.45972893,Healthcare,Stock,Sell,Germany,1.8429438761636794
3.086719755342202,96554.06090955216,0.4060096898891135,0.331052701737769,0.09347955174927834,0.02596556472925514,85520705.39064425,Utilities,ETF,Buy,USA,1.2012044562934825
3.2750821674869672,108679.81901582624,0.5829474841931749,0.24368349879307616,0.09092021362064871,0.02510757696390932,87113194.65956032,Finance,Stock,Sell,USA,1.2939060667010165
4.437712470759028,100989.55391731324,0.48061738612271965,0.42942089064472766,0.08196248695476449,0.024594574273291647,45217195.877250545,Utilities,Stock,Sell,USA,1.6107369495620405
